fid,link_id,from_node_id,to_node_id,length_km,from_station_id,to_station_id,count,two_way
257,257,229,228,4.181672,,,,1
258,258,230,231,0.114109,,,,0
259,259,231,21,0.11838,,,,0
260,260,231,122,1.365897,,"451","171",1
261,261,232,251,2.372427,,,,0
262,262,233,235,0.337505,,,,0
263,263,233,70,1.853768,,100-1,,0
264,264,234,232,0.456138,,,,0
265,265,234,304,0.869593,,,,1
266,266,235,234,0.368227,,,,1
267,267,237,249,0.10595,,,,0
268,268,238,237,0.071269,,,,0
269,269,238,290,0.094674,,,,0
270,270,240,241,0.184221,,,,0
271,271,241,238,0.124843,,,,0
272,272,241,242,0.632862,,,,1
273,273,242,51,0.259817,,"1123",,1
274,274,242,58,1.309876,,"4418","169",1
275,275,243,252,0.277174,,,,1
276,276,243,246,0.593028,,,,0
277,277,244,71,2.379428,,"1121",,1
278,278,245,26,0.131055,,,,1
279,279,245,302,1.008962,,,,1
280,280,246,233,2.31685,,,,0
281,281,247,274,0.330555,,,,0
282,282,247,248,0.649961,,,,0
283,283,248,279,0.168766,,,,0
284,284,249,340,2.572319,,101-1,,1
285,285,250,249,0.574031,,,,0
286,286,250,240,0.343909,,,,0
287,287,251,54,1.633371,,"101","9868",0
288,288,251,244,0.409564,,,,0
289,289,252,244,0.071643,,,,1
290,290,253,33,1.336117,,,"1211",1
291,291,253,39,0.303878,,"4422",,1
292,292,254,66,2.280846,,"4421","122",1
293,293,254,253,1.20983,,,,1
294,294,255,61,0.802683,,"102",,0
295,295,255,256,0.203555,,,,0
296,296,256,300,0.987708,,,,0
297,297,256,295,0.53395,,,,0
298,298,257,47,1.257227,,"560","1915",1
299,299,257,56,0.737501,,"4419","51",1
300,300,258,44,5.83407,,503-1,"14484",0
301,301,259,3,1.834027,,"770","3606",1
302,302,259,261,0.045175,,,,0
303,303,260,265,0.080449,,,,0
304,304,261,42,0.271887,,821-1,,0
305,305,262,40,1.119505,,"761","1034",1
306,306,262,45,0.42806,,"564",,1
307,307,263,57,1.463206,,"830","2528",1
308,308,264,43,0.175162,,"821","2134",0
309,309,265,266,0.070634,,,,0
310,310,265,264,0.08479,,,,0
311,311,266,264,0.082695,,,,0
312,312,267,259,0.065966,,,,0
313,313,267,261,0.065402,,,,0
314,314,268,267,0.08172,,,,0
315,315,268,341,0.148307,,,,1
316,316,269,49,0.670556,,"4420","108",1
317,317,269,48,0.401922,,"562",,1
318,318,270,248,0.40319,,,,0
319,319,270,41,4.537487,,"820","3306",1
320,320,271,284,0.366803,,,,0
321,321,272,277,0.059764,,,,0
322,322,274,270,0.127811,,,,1
323,323,275,50,0.237622,,"503",,0
324,324,276,294,0.333123,,,,0
325,325,277,296,0.021501,,,,0
326,326,277,299,0.786817,,,,0
327,327,279,289,0.284046,,,,0
328,328,279,282,0.315421,,,,0
329,329,280,4,7.389997,,"504","6602",0
330,330,281,60,0.545874,,102-1,"7566",0
331,331,281,298,0.193034,,,,0
332,332,282,272,0.39309,,,,0
333,333,283,287,0.294904,,,,0
334,334,283,284,0.353898,,,,0
335,335,284,250,0.65388,,,,0
336,336,285,282,0.205131,,,,0
337,337,285,271,0.395691,,,,0
338,338,287,271,0.045963,,,,1
339,339,288,1,4.119091,,"502","13944",0
340,340,288,301,0.418003,,,,1
341,341,289,285,0.04603,,,,0
342,342,290,238,0.094565,,,,0
343,343,290,292,0.020369,,,,0
344,344,292,240,0.048055,,,,0
345,345,292,274,0.20774,,,,1
346,346,294,258,0.312032,,,,0
347,347,295,299,0.365146,,,,0
348,348,295,297,0.082419,,,,0
349,349,296,276,0.180083,,,,0
350,350,296,294,0.497084,,,,0
351,351,297,300,0.352619,,,,0
352,352,298,300,0.242294,,,,0
353,353,298,276,0.370799,,,,0
354,354,299,280,0.288222,,,,0
355,355,300,283,0.09546,,,,0
356,356,301,275,0.361132,,,,1
357,357,301,266,0.546395,,,,0
358,358,302,64,1.686674,,4415-1,"501",1
359,359,302,62,1.503719,,"4416","79",1
360,360,303,53,0.680204,,"1120",,1
361,361,303,52,0.514222,,"4413",,1
362,362,304,69,0.643161,,"1122",,1
363,363,304,28,0.261449,,,,1
364,364,305,308,0.222521,,,,1
365,365,306,188,1.890641,,,,0
366,366,307,305,0.242856,,,,1
367,367,307,81,0.77975,,"100","11273",0
368,368,308,306,0.11008,,,,0
369,369,308,68,0.524122,,"4411","88",1
370,370,309,78,0.476315,,"842",,1
371,371,310,178,1.646592,,,"1008",0
372,372,310,78,1.616707,,"842","1349",1
373,373,311,199,0.746722,,,,0
374,374,312,196,0.417289,,,,1
375,375,313,318,0.561741,,,,1
376,376,313,96,0.041683,,"302",,1
377,377,317,320,1.571601,,,,1
378,378,318,317,0.806117,,,,1
379,379,318,323,0.411327,,,,1
380,380,319,89,0.200406,,"118","7864",1
381,381,319,202,0.077948,,,,0
382,382,320,319,0.091072,,,,0
383,383,321,102,6.179207,,116-1,"8340",0
384,384,323,317,0.469093,,,,1
385,385,324,205,0.233221,,,,0
386,386,324,204,0.127817,,,,0
387,387,325,326,0.387402,,,,0
388,388,325,216,0.390566,,,,0
389,389,326,207,1.550725,,,,0
390,390,327,206,0.093048,,,,0
391,391,328,329,0.029708,,,,0
392,392,328,100,0.060824,,4403-4402,"343",0
393,393,329,219,0.397628,,,,0
394,394,329,327,0.203708,,,,0
395,395,330,127,0.037534,,,,0
396,396,338,190,0.64402,,,,1
397,397,340,246,1.556885,101-1,,"10036",0
398,398,27,192,0.0399,GOPEGI,,,1
399,399,7,72,2.475893,,844-1,"11501",0
400,400,311,198,0.314,,,,0
