fid,node_id,is_zone,zone_type,is_count,station_id,Cluster_1,layer,path
46,46,0,,1,"563",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
47,47,0,,1,"560",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
48,48,0,,1,"562",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
49,49,0,,1,"4420",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
50,50,0,,1,"503",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
51,51,0,,1,"1123",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
52,52,0,,1,"4413",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
53,53,0,,1,"1120",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
54,54,0,,1,"101",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
55,55,0,,1,4414-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
56,56,0,,1,"4419",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
57,57,0,,1,"830",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
58,58,0,,1,"4418",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
59,59,0,,1,4414-2,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
60,60,0,,1,102-1,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
61,61,0,,1,"102",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
62,62,0,,1,"4416",,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
63,63,0,,1,4415-2,,Internal counts Gorbeialdea final,B:/QGIS Files Gorbeialdea/Internal Count Stations Gorbeialdea.gpkg|layername=internal_count_stations_gorbeialdea
